ticker,sector,spider_id
GBX,Industrials,SECTOR_INDUSTRIALS
GCT,Technology,SECTOR_TECHNOLOGY
GDDY,Technology,SECTOR_TECHNOLOGY
GDV,Financials,SECTOR_FINANCIALS
GE,Industrials,SECTOR_INDUSTRIALS
GEL,Energy,SECTOR_ENERGY
GERN,Healthcare,SECTOR_HEALTHCARE
GEVO,Materials,SECTOR_MATERIALS
GFF,Industrials,SECTOR_INDUSTRIALS
GGG,Industrials,SECTOR_INDUSTRIALS
GH,Healthcare,SECTOR_HEALTHCARE
GHC,Consumer Staples,SECTOR_CONSUMER_STAPLES
GHM,Industrials,SECTOR_INDUSTRIALS
GILD,Healthcare,SECTOR_HEALTHCARE
GKOS,Healthcare,SECTOR_HEALTHCARE
GL,Financials,SECTOR_FINANCIALS
GLAD,Financials,SECTOR_FINANCIALS
GLSI,Healthcare,SECTOR_HEALTHCARE
GLW,Technology,SECTOR_TECHNOLOGY
GNE,Utilities,SECTOR_UTILITIES
GNK,Industrials,SECTOR_INDUSTRIALS
GNRC,Industrials,SECTOR_INDUSTRIALS
GNTX,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY
GOLD,Financials,SECTOR_FINANCIALS
GPCR,Healthcare,SECTOR_HEALTHCARE
GPGI,Industrials,SECTOR_INDUSTRIALS
GPI,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY
GPOR,Energy,SECTOR_ENERGY
GRND,Technology,SECTOR_TECHNOLOGY
GRNT,Energy,SECTOR_ENERGY
GS,Financials,SECTOR_FINANCIALS
GSBC,Financials,SECTOR_FINANCIALS
GTES,Industrials,SECTOR_INDUSTRIALS
GTLS,Industrials,SECTOR_INDUSTRIALS
GVA,Industrials,SECTOR_INDUSTRIALS
GXO,Industrials,SECTOR_INDUSTRIALS
GYRE,Healthcare,SECTOR_HEALTHCARE
HAE,Healthcare,SECTOR_HEALTHCARE
HALO,Healthcare,SECTOR_HEALTHCARE
HBAN,Financials,SECTOR_FINANCIALS
HBCP,Financials,SECTOR_FINANCIALS
HBNC,Financials,SECTOR_FINANCIALS
HBT,Financials,SECTOR_FINANCIALS
HCC,Materials,SECTOR_MATERIALS
HDSN,Materials,SECTOR_MATERIALS
HFWA,Financials,SECTOR_FINANCIALS
HIG,Financials,SECTOR_FINANCIALS
HII,Industrials,SECTOR_INDUSTRIALS
HIMS,Healthcare,SECTOR_HEALTHCARE
HIVE,Financials,SECTOR_FINANCIALS
HIX,Financials,SECTOR_FINANCIALS
HL,Materials,SECTOR_MATERIALS
HLI,Financials,SECTOR_FINANCIALS
HLIO,Industrials,SECTOR_INDUSTRIALS
HLLY,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY
HLNE,Financials,SECTOR_FINANCIALS
HLT,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY
HLX,Energy,SECTOR_ENERGY
HNI,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY
HNRG,Energy,SECTOR_ENERGY
HOG,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY
HON,Industrials,SECTOR_INDUSTRIALS
HOOD,Financials,SECTOR_FINANCIALS
HOPE,Financials,SECTOR_FINANCIALS
HOV,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY
HP,Energy,SECTOR_ENERGY
HPQ,Technology,SECTOR_TECHNOLOGY
HQH,Financials,SECTOR_FINANCIALS
HQL,Financials,SECTOR_FINANCIALS
HQY,Healthcare,SECTOR_HEALTHCARE
HRI,Industrials,SECTOR_INDUSTRIALS
HRMY,Healthcare,SECTOR_HEALTHCARE
HROW,Healthcare,SECTOR_HEALTHCARE
HRTG,Financials,SECTOR_FINANCIALS
HSTM,Healthcare,SECTOR_HEALTHCARE
HTBK,Financials,SECTOR_FINANCIALS
HTGC,Financials,SECTOR_FINANCIALS
HTZ,Industrials,SECTOR_INDUSTRIALS
HUBB,Industrials,SECTOR_INDUSTRIALS
HUBG,Industrials,SECTOR_INDUSTRIALS
HUBS,Technology,SECTOR_TECHNOLOGY
HUN,Materials,SECTOR_MATERIALS
HUT,Financials,SECTOR_FINANCIALS
HWC,Financials,SECTOR_FINANCIALS
HYLN,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY
HYMC,Materials,SECTOR_MATERIALS
IAC,Communication Services,SECTOR_COMMUNICATION_SERVICES
IBCP,Financials,SECTOR_FINANCIALS
IBEX,Technology,SECTOR_TECHNOLOGY
IBKR,Financials,SECTOR_FINANCIALS
IBM,Technology,SECTOR_TECHNOLOGY
IBP,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY
IBRX,Healthcare,SECTOR_HEALTHCARE
ICE,Financials,SECTOR_FINANCIALS
ICUI,Healthcare,SECTOR_HEALTHCARE
IDA,Utilities,SECTOR_UTILITIES
IDCC,Technology,SECTOR_TECHNOLOGY
IDR,Materials,SECTOR_MATERIALS
IDYA,Healthcare,SECTOR_HEALTHCARE
IE,Materials,SECTOR_MATERIALS
IEX,Industrials,SECTOR_INDUSTRIALS
IIIV,Technology,SECTOR_TECHNOLOGY
IIM,Financials,SECTOR_FINANCIALS
IMMX,Healthcare,SECTOR_HEALTHCARE
IMNM,Healthcare,SECTOR_HEALTHCARE
IMRX,Healthcare,SECTOR_HEALTHCARE
INBX,Healthcare,SECTOR_HEALTHCARE
INCY,Healthcare,SECTOR_HEALTHCARE
INDB,Financials,SECTOR_FINANCIALS
INDI,Technology,SECTOR_TECHNOLOGY
INDV,Healthcare,SECTOR_HEALTHCARE
INGR,Consumer Staples,SECTOR_CONSUMER_STAPLES
INNV,Healthcare,SECTOR_HEALTHCARE
INOD,Technology,SECTOR_TECHNOLOGY
INSM,Healthcare,SECTOR_HEALTHCARE
INSW,Energy,SECTOR_ENERGY
INVA,Healthcare,SECTOR_HEALTHCARE
IONQ,Technology,SECTOR_TECHNOLOGY
IONS,Healthcare,SECTOR_HEALTHCARE
IPAR,Consumer Staples,SECTOR_CONSUMER_STAPLES
IQV,Healthcare,SECTOR_HEALTHCARE
IR,Industrials,SECTOR_INDUSTRIALS
IRON,Healthcare,SECTOR_HEALTHCARE
IRWD,Healthcare,SECTOR_HEALTHCARE
ISBA,Financials,SECTOR_FINANCIALS
ISRG,Healthcare,SECTOR_HEALTHCARE
ISSC,Industrials,SECTOR_INDUSTRIALS
ITT,Industrials,SECTOR_INDUSTRIALS
IVVD,Healthcare,SECTOR_HEALTHCARE
IVZ,Financials,SECTOR_FINANCIALS
JAMF,Technology,SECTOR_TECHNOLOGY
JANX,Healthcare,SECTOR_HEALTHCARE
JBHT,Industrials,SECTOR_INDUSTRIALS
JBI,Industrials,SECTOR_INDUSTRIALS
JBL,Technology,SECTOR_TECHNOLOGY
JEF,Financials,SECTOR_FINANCIALS
JOBY,Industrials,SECTOR_INDUSTRIALS
JPM,Financials,SECTOR_FINANCIALS
JXN,Financials,SECTOR_FINANCIALS
KAI,Industrials,SECTOR_INDUSTRIALS
KALU,Materials,SECTOR_MATERIALS
KALV,Healthcare,SECTOR_HEALTHCARE
KD,Technology,SECTOR_TECHNOLOGY
KE,Industrials,SECTOR_INDUSTRIALS
KEX,Industrials,SECTOR_INDUSTRIALS
KFS,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY
KKR,Financials,SECTOR_FINANCIALS
KLAC,Technology,SECTOR_TECHNOLOGY
KLIC,Technology,SECTOR_TECHNOLOGY
KMPR,Financials,SECTOR_FINANCIALS
KMT,Industrials,SECTOR_INDUSTRIALS
KNTK,Energy,SECTOR_ENERGY
KO,Consumer Staples,SECTOR_CONSUMER_STAPLES
KOD,Healthcare,SECTOR_HEALTHCARE
KOPN,Technology,SECTOR_TECHNOLOGY
KROS,Healthcare,SECTOR_HEALTHCARE
KRUS,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY
KRYS,Healthcare,SECTOR_HEALTHCARE
