ticker,sector,spider_id,batch,batch_name,total_trades,winning_trades,losing_trades,win_rate_pct,profit_factor,expectancy_r,net_pnl_usd,net_return_pct,gross_wins_usd,gross_losses_usd,avg_win_pct,avg_loss_pct,best_trade_pct,worst_trade_pct,avg_hold_days,stage6_entries,stage7_entries
VST,Utilities,SECTOR_UTILITIES,B1,Batch 1 — 2022 to 2023,7,5,2,71.43,4.1067,0.58,434.54,4.3454,574.41,139.87,4.2076,-4.5827,9.5203,-6.9662,14.6,0,7
CPRT,Industrials,SECTOR_INDUSTRIALS,B1,Batch 1 — 2022 to 2023,13,6,7,46.15,3.1757,0.5798,757.19,7.5719,1105.21,348.02,7.7491,-2.3498,11.1398,-6.7526,12.8,0,13
PFSI,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,9,6,3,66.67,3.9158,0.5786,525.9,5.259,706.26,180.36,7.4578,-4.9199,20.0,-9.5029,15.2,0,9
FSLR,Technology,SECTOR_TECHNOLOGY,B1,Batch 1 — 2022 to 2023,9,3,6,33.33,2.219,0.5776,497.8,4.978,906.16,408.36,29.9018,-6.5703,77.2974,-11.2742,15.7,0,9
BTBT,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,7,3,4,42.86,2.3787,0.5776,405.44,4.0544,699.51,294.07,46.4433,-12.6501,120.8791,-16.6487,17.3,0,7
CIFR,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,8,4,4,50.0,2.2949,0.5772,413.19,4.1319,732.28,319.09,41.6772,-14.763,103.3333,-21.2816,18.0,1,7
BWA,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY,B1,Batch 1 — 2022 to 2023,6,3,3,50.0,2.2902,0.5761,356.55,3.5655,632.91,276.36,11.4701,-5.9376,14.0016,-6.9527,19.0,0,6
THFF,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,3,1,2,33.33,2.0731,0.5758,190.07,1.9007,367.2,177.13,18.9626,-6.1187,18.9626,-6.5971,30.7,0,3
QCRH,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,5,3,2,60.0,3.9247,0.5743,299.81,2.9981,402.32,102.51,9.0218,-2.9129,18.952,-3.6009,16.6,0,5
TNET,Industrials,SECTOR_INDUSTRIALS,B1,Batch 1 — 2022 to 2023,11,6,5,54.55,3.7064,0.5737,620.14,6.2014,849.28,229.14,6.8184,-2.1105,14.089,-4.9873,14.0,0,11
IBCP,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,8,5,3,62.5,2.2743,0.5729,366.63,3.6663,654.35,287.72,8.6449,-5.0318,13.8482,-6.87,15.9,0,8
ITT,Industrials,SECTOR_INDUSTRIALS,B1,Batch 1 — 2022 to 2023,11,7,4,63.64,3.3327,0.5715,623.22,6.2322,890.39,267.17,6.5962,-3.4031,13.1045,-6.1471,12.7,0,11
FRME,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,6,2,4,33.33,2.3504,0.5701,336.0,3.36,584.82,248.82,15.9873,-3.87,21.1824,-8.3419,27.8,1,5
KKR,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,7,3,4,42.86,2.3821,0.5656,410.09,4.1009,706.81,296.72,14.1826,-4.6028,21.1202,-7.8736,27.6,0,7
FSS,Industrials,SECTOR_INDUSTRIALS,B1,Batch 1 — 2022 to 2023,11,6,5,54.55,2.6815,0.5581,604.95,6.0495,964.71,359.76,8.1156,-3.868,12.4831,-5.9234,13.5,0,11
